Date,Open,Close,High,Low,Volume
1/4/2010,28.29999924,28.68400002,28.71333313,28.11400032,142981500
1/5/2010,29.36666679,29.5340004,30.26666641,29.12800026,266677500
1/6/2010,29.36466789,30.10266685,30.10400009,29.33333206,151995000
1/7/2010,30.76000023,31.27066612,31.44199944,30.22400093,268231500
1/8/2010,31.57999992,32.8093338,33.23266602,31.21533394,467164500
1/11/2010,33.13999939,32.08933258,33.25333405,31.52466774,426606000
1/12/2010,32.11933136,31.87666702,32.32933426,31.57999992,194392500
1/13/2010,32.90000153,34.99066544,35.04199982,32.79999924,397764000
1/14/2010,36.2840004,35.86133194,36.49399948,34.99333191,434943000
1/15/2010,35.31733322,34.56666565,35.85599899,34.45266724,260532000
1/19/2010,32.91666794,34.23266602,34.29733276,32.8113327,326050500
1/20/2010,33.84066772,34.03333282,34.37799835,33.54399872,204436500
1/21/2010,35.34999847,36.47999954,36.5719986,35.22733307,267052500
1/22/2010,38.12599945,37.97066879,39.6333313,37.2733345,470535000
1/25/2010,37.6166687,38.14666748,38.79999924,37.04000092,294765000
1/26/2010,38.04199982,37.6546669,38.25733185,36.95066833,215304000
1/27/2010,36.13266754,37.20133209,37.6293335,35.95199966,204121500
1/28/2010,37.89933395,37.79333115,38.45399857,37.20533371,176827500
1/29/2010,38.3793335,38.73266602,39.31999969,37.82866669,267022500
2/1/2010,42.16133118,42.72066879,43.39199829,41.20000076,435085500
2/2/2010,42.66666794,43.37133408,43.53333282,42.16799927,235789500
2/3/2010,44.91266632,52,52.40933228,44.90133286,705975000
2/4/2010,58.86399841,59.13733292,64.59933472,55.59199905,914082000
2/5/2010,54.88399887,48.97999954,56.39866638,46.9406662,726357000
2/8/2010,46.66133118,49.93066788,53.05533218,45.79999924,598212000
2/9/2010,48.70333481,49.87133408,51.31666565,48.66666794,255952500
2/10/2010,53.33333206,51.41866684,54.66600037,50.15999985,370338000
2/11/2010,51.25266647,51.62533188,52.23400116,50.53333282,175462500
2/12/2010,51.85800171,51.152668,52.65000153,50.89133453,180337500
2/16/2010,49.45600128,53.59999847,54.53333282,49,394339500
2/17/2010,52.48133469,53.33533478,54.19800186,52.3666687,235405500
2/18/2010,56.10666656,57.2266655,57.33333206,55.49066544,245725500
2/19/2010,61.56666565,61.16133118,62.98533249,60.06800079,381345000
2/22/2010,60.79666519,59.96066666,60.79999924,57.32933426,264523500
