# Sembol İstatistikleri:
# 
# Bu dosya CSV dönüştürme sırasında toplanan sembol bilgilerini içerir.
# 
# === SÜTUN AÇIKLAMALARI ===
# grafik_sembol: Finansal araç sembolü (örn: IMKBH'ADEL)
# grafik_periyot: Grafik periyodu (1, 5, 15, 30, H, D vb.)
# bar_count: Toplam bar/mum sayısı
# baslangic_tarihi: Verinin başlangıç tarihi
# bitis_tarihi: Verinin bitiş tarihi
# kayit_zamani: Dosyanın kaydedildiği zaman
# dosya_adi: Kaynak dosya adı
#
# ======================================================================================================================================================
#
# GRAFIK_SEMBOL            PERIYOT BAR_COUNT BASLANGIC_TARIHI    BITIS_TARIHI        KAYIT_ZAMANI        DOSYA_ADI                     
# -------------------------------------------------------------------------------------------------------------------------------------
  IMKBH'A1YEN              60      10629     2021.07.16 09:00:00 2025.10.24 18:00:00 2025.10.26 14:04:37 IMKBH'A1YEN_60.txt            
  IMKBH'A1YEN              120     6381      2021.07.16 08:00:00 2025.10.24 18:00:00 2025.10.26 14:04:37 IMKBH'A1YEN_120.txt           
  IMKBH'A1YEN              240     3198      2021.07.16 08:00:00 2025.10.24 16:00:00 2025.10.26 14:04:37 IMKBH'A1YEN_240.txt           
  IMKBH'A1YEN              G       1069      2021.07.16 00:00:00 2025.10.24 00:00:00 2025.10.26 14:04:37 IMKBH'A1YEN_G.txt             
  IMKBH'A1YEN              H       224       2021.07.12 00:00:00 2025.10.20 00:00:00 2025.10.26 14:04:37 IMKBH'A1YEN_H.txt             
  IMKBH'A1YEN              A       52        2021.07.01 00:00:00 2025.10.01 00:00:00 2025.10.26 14:04:37 IMKBH'A1YEN_A.txt             
  IMKBH'ACSEL              1       751783    2015.07.02 09:35:00 2025.10.24 18:05:00 2025.10.26 15:13:06 IMKBH'ACSEL_1.txt             
  IMKBH'ACSEL              5       216205    2015.07.02 09:35:00 2025.10.24 18:05:00 2025.10.26 15:13:18 IMKBH'ACSEL_5.txt             
  IMKBH'ACSEL              10      116698    2015.07.02 09:30:00 2025.10.24 18:00:00 2025.10.26 14:04:45 IMKBH'ACSEL_10.txt            
  IMKBH'ACSEL              15      80741     2015.07.02 09:30:00 2025.10.24 18:00:00 2025.10.26 14:04:43 IMKBH'ACSEL_15.txt            
  IMKBH'ACSEL              20      62186     2015.07.02 09:20:00 2025.10.24 18:00:00 2025.10.26 14:04:42 IMKBH'ACSEL_20.txt            
  IMKBH'ACSEL              30      43199     2015.07.02 09:30:00 2025.10.24 18:00:00 2025.10.26 14:04:41 IMKBH'ACSEL_30.txt            
  IMKBH'ACSEL              60      29414     2012.07.06 10:00:00 2025.10.24 18:00:00 2025.10.26 14:04:41 IMKBH'ACSEL_60.txt            
  IMKBH'ACSEL              120     17805     2012.07.06 10:00:00 2025.10.24 18:00:00 2025.10.26 14:04:40 IMKBH'ACSEL_120.txt           
  IMKBH'ACSEL              240     9965      2012.07.06 08:00:00 2025.10.24 16:00:00 2025.10.26 14:04:40 IMKBH'ACSEL_240.txt           
  IMKBH'ACSEL              G       3334      2012.07.06 00:00:00 2025.10.24 00:00:00 2025.10.26 14:04:40 IMKBH'ACSEL_G.txt             
  IMKBH'ACSEL              H       695       2012.07.02 00:00:00 2025.10.20 00:00:00 2025.10.26 14:04:40 IMKBH'ACSEL_H.txt             
  IMKBH'ACSEL              A       160       2012.07.02 00:00:00 2025.10.01 00:00:00 2025.10.26 14:04:40 IMKBH'ACSEL_A.txt             
  IMKBH'ADEL               1       782741    2015.07.02 09:30:00 2025.10.24 18:05:00 2025.10.26 15:13:22 IMKBH'ADEL_1.txt              
  IMKBH'ADEL               5       218629    2015.07.02 09:30:00 2025.10.24 18:05:00 2025.10.26 15:13:35 IMKBH'ADEL_5.txt              
  IMKBH'ADEL               10      117313    2015.07.02 09:30:00 2025.10.24 18:00:00 2025.10.26 14:04:52 IMKBH'ADEL_10.txt             
  IMKBH'ADEL               15      80809     2015.07.02 09:30:00 2025.10.24 18:00:00 2025.10.26 14:04:50 IMKBH'ADEL_15.txt             
  IMKBH'ADEL               20      62094     2015.07.02 09:20:00 2025.10.24 18:00:00 2025.10.26 14:04:49 IMKBH'ADEL_20.txt             
  IMKBH'ADEL               30      43059     2015.07.02 09:30:00 2025.10.24 18:00:00 2025.10.26 14:04:48 IMKBH'ADEL_30.txt             
  IMKBH'ADEL               60      32267     2011.02.22 10:00:00 2025.10.24 18:00:00 2025.10.26 14:04:48 IMKBH'ADEL_60.txt             
  IMKBH'ADEL               120     19555     2011.02.22 10:00:00 2025.10.24 18:00:00 2025.10.26 14:04:47 IMKBH'ADEL_120.txt            
  IMKBH'ADEL               240     11015     2011.02.22 08:00:00 2025.10.24 16:00:00 2025.10.26 14:04:47 IMKBH'ADEL_240.txt            
  IMKBH'ADEL               G       6471      1999.12.24 00:00:00 2025.10.24 00:00:00 2025.10.26 14:04:47 IMKBH'ADEL_G.txt              
  IMKBH'ADEL               H       1523      1996.06.17 00:00:00 2025.10.20 00:00:00 2025.10.26 14:04:47 IMKBH'ADEL_H.txt              
  IMKBH'ADEL               A       353       1996.06.03 00:00:00 2025.10.01 00:00:00 2025.10.26 14:04:47 IMKBH'ADEL_A.txt              
  IMKBH'ADESE              1       1013118   2015.07.02 09:30:00 2025.10.24 18:05:00 2025.10.26 15:13:39 IMKBH'ADESE_1.txt             
  IMKBH'ADESE              5       231758    2015.07.02 09:30:00 2025.10.24 18:05:00 2025.10.26 15:13:55 IMKBH'ADESE_5.txt             
  IMKBH'ADESE              10      119277    2015.07.02 09:30:00 2025.10.24 18:00:00 2025.10.26 14:04:59 IMKBH'ADESE_10.txt            
  IMKBH'ADESE              15      81351     2015.07.02 09:30:00 2025.10.24 18:00:00 2025.10.26 14:04:57 IMKBH'ADESE_15.txt            
  IMKBH'ADESE              20      62292     2015.07.02 09:20:00 2025.10.24 18:00:00 2025.10.26 14:04:56 IMKBH'ADESE_20.txt            
  IMKBH'ADESE              30      43148     2015.07.02 09:30:00 2025.10.24 18:00:00 2025.10.26 14:04:55 IMKBH'ADESE_30.txt            
  IMKBH'ADESE              60      30829     2011.11.03 09:00:00 2025.10.24 18:00:00 2025.10.26 14:04:55 IMKBH'ADESE_60.txt            
  IMKBH'ADESE              120     18666     2011.11.03 08:00:00 2025.10.24 18:00:00 2025.10.26 14:04:54 IMKBH'ADESE_120.txt           
  IMKBH'ADESE              240     10467     2011.11.03 08:00:00 2025.10.24 16:00:00 2025.10.26 14:04:54 IMKBH'ADESE_240.txt           
  IMKBH'ADESE              G       3504      2011.11.03 00:00:00 2025.10.24 00:00:00 2025.10.26 14:04:54 IMKBH'ADESE_G.txt             
  IMKBH'ADESE              H       730       2011.10.31 00:00:00 2025.10.20 00:00:00 2025.10.26 14:04:54 IMKBH'ADESE_H.txt             
  IMKBH'ADESE              A       168       2011.11.01 00:00:00 2025.10.01 00:00:00 2025.10.26 14:04:54 IMKBH'ADESE_A.txt             
  IMKBH'ADGYO              1       218365    2023.09.20 09:55:00 2025.10.24 18:05:00 2025.10.26 15:13:59 IMKBH'ADGYO_1.txt             
  IMKBH'ADGYO              5       51195     2023.09.20 09:55:00 2025.10.24 18:05:00 2025.10.26 15:14:03 IMKBH'ADGYO_5.txt             
  IMKBH'ADGYO              10      26217     2023.09.20 09:50:00 2025.10.24 18:00:00 2025.10.26 14:05:02 IMKBH'ADGYO_10.txt            
  IMKBH'ADGYO              15      17841     2023.09.20 09:45:00 2025.10.24 18:00:00 2025.10.26 14:05:02 IMKBH'ADGYO_15.txt            
  IMKBH'ADGYO              20      13647     2023.09.20 09:40:00 2025.10.24 18:00:00 2025.10.26 14:05:01 IMKBH'ADGYO_20.txt            
  IMKBH'ADGYO              30      9451      2023.09.20 09:30:00 2025.10.24 18:00:00 2025.10.26 14:05:01 IMKBH'ADGYO_30.txt            
  IMKBH'ADGYO              60      5251      2023.09.20 09:00:00 2025.10.24 18:00:00 2025.10.26 14:05:01 IMKBH'ADGYO_60.txt            
  IMKBH'ADGYO              120     3152      2023.09.20 08:00:00 2025.10.24 18:00:00 2025.10.26 14:05:01 IMKBH'ADGYO_120.txt           
  IMKBH'ADGYO              240     1578      2023.09.20 08:00:00 2025.10.24 16:00:00 2025.10.26 14:05:01 IMKBH'ADGYO_240.txt           
  IMKBH'ADGYO              G       527       2023.09.20 00:00:00 2025.10.24 00:00:00 2025.10.26 14:05:01 IMKBH'ADGYO_G.txt             
  IMKBH'ADGYO              H       110       2023.09.18 00:00:00 2025.10.20 00:00:00 2025.10.26 14:05:01 IMKBH'ADGYO_H.txt             
  IMKBH'ADGYO              A       26        2023.09.01 00:00:00 2025.10.01 00:00:00 2025.10.26 14:05:01 IMKBH'ADGYO_A.txt             
  IMKBH'AEFES              1       916586    2015.07.02 09:30:00 2025.10.24 18:05:00 2025.10.26 15:14:04 IMKBH'AEFES_1.txt             
  IMKBH'AEFES              5       227886    2015.07.02 09:30:00 2025.10.24 18:05:00 2025.10.26 15:14:19 IMKBH'AEFES_5.txt             
  IMKBH'AEFES              10      119493    2015.07.02 09:30:00 2025.10.24 18:00:00 2025.10.26 14:05:08 IMKBH'AEFES_10.txt            
  IMKBH'AEFES              15      81716     2015.07.02 09:30:00 2025.10.24 18:00:00 2025.10.26 14:05:06 IMKBH'AEFES_15.txt            
  IMKBH'AEFES              20      62587     2015.07.02 09:20:00 2025.10.24 18:00:00 2025.10.26 14:05:05 IMKBH'AEFES_20.txt            
  IMKBH'AEFES              30      43236     2015.07.02 09:30:00 2025.10.24 18:00:00 2025.10.26 14:05:04 IMKBH'AEFES_30.txt            
  IMKBH'AEFES              60      32388     2011.03.09 16:00:00 2025.10.24 18:00:00 2025.10.26 14:05:03 IMKBH'AEFES_60.txt            
  IMKBH'AEFES              120     19610     2011.03.09 16:00:00 2025.10.24 18:00:00 2025.10.26 14:05:03 IMKBH'AEFES_120.txt           
  IMKBH'AEFES              240     10977     2011.03.09 16:00:00 2025.10.24 16:00:00 2025.10.26 14:05:03 IMKBH'AEFES_240.txt           
  IMKBH'AEFES              G       6330      2000.07.25 00:00:00 2025.10.24 00:00:00 2025.10.26 14:05:03 IMKBH'AEFES_G.txt             
  IMKBH'AEFES              H       1313      2000.07.24 00:00:00 2025.10.20 00:00:00 2025.10.26 14:05:02 IMKBH'AEFES_H.txt             
  IMKBH'AEFES              A       304       2000.07.03 00:00:00 2025.10.01 00:00:00 2025.10.26 14:05:02 IMKBH'AEFES_A.txt             
  IMKBH'AFYON              1       1061678   2015.07.15 15:12:00 2025.10.24 18:05:00 2025.10.26 15:14:23 IMKBH'AFYON_1.txt             
  IMKBH'AFYON              5       234846    2015.07.02 09:30:00 2025.10.24 18:05:00 2025.10.26 15:14:40 IMKBH'AFYON_5.txt             
  IMKBH'AFYON              10      120158    2015.07.02 09:30:00 2025.10.24 18:00:00 2025.10.26 14:05:15 IMKBH'AFYON_10.txt            
  IMKBH'AFYON              15      81829     2015.07.02 09:30:00 2025.10.24 18:00:00 2025.10.26 14:05:13 IMKBH'AFYON_15.txt            
