# Endeks Bileşenleri (Hisse Senedi - Endeks İlişkisi):
# 
# Bu dosya her hisse senedinin hangi endekslerde yer aldığını gösterir.
# 
# === TEMEL ENDEKSLER ===
# XU030: BIST 30 - En likit 30 hisse
# XU050: BIST 50 - En likit 50 hisse
# XU100: BIST 100 - En likit 100 hisse
# XU500: BIST 500 - Geniş pazar endeksi
# XUTUM: BIST TÜM - Tüm hisseler
# 
# === ÖZEL ENDEKSLER ===
# XYLDZ: BIST YILDIZ - Yıldız şirketler
# XHARZ: BIST HALKA ARZ - Halka arz edilen şirketler
# XSD25: BIST SÜRDÜRÜLEBİLİRLİK 25
# XSRDK: BIST KATILIM SÜRDÜRÜLEBİLİRLİK
# 
# === SEKTÖREL ENDEKSLER ===
# XBANK: BIST BANKA
# XBLSM: BIST BİLİŞİM
# XELKT: BIST ELEKTRİK
# XGIDA: BIST GIDA İÇECEK
# XGMYO: BIST GAYRİMENKUL Y.O.
# XHOLD: BIST HOLDİNG VE YATIRIM
# XTEKS: BIST TEKSTİL DERİ
# XTAST: BIST TAŞ TOPRAK
#
stock_symbol,indices
EKGYO,"XU100,XU050,XU030,X10XB,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XUMAL,XGMYO,XGYOS"
EKOS,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XUSIN,XSINS,XMESY,XSBAL"
EKSUN,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XGIDA,XSTKR"
ELITE,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XKTUM,XK100,XKTMT,XUSIN,XSINS,XGIDA,XSANK"
EMKEL,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XMESY,XSANK"
ENDAE,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XUGRA,XUHIZ,XELKT,XSIZM"
ENERY,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XKTUM,XK100,XK050,XUGRA,XUHIZ,XELKT,XSIST"
ENJSA,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XK030EA,XYLDZ,XKTUM,XK100,XK050,XK030,XSRDK,XKURY,XUSRD,XSD25,XUHIZ,XELKT,XSIST"
ENKAI,"XU100,XU050,XU030,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XTMTU,XTM25,XKURY,XUSRD,XSD25,XTM25S,XUHIZ,XINSA,XSIST"
ENSRI,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XTEKS,XSTKR"
ENTRA,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XUHIZ,XELKT,XSANK"
EPLAS,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XKMYA,XSIZM"
ERBOS,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XMANA,XSKAY"
ERCB,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XMANA"
EREGL,"XU100,XU050,XU030,X10XB,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XK030EA,XYLDZ,XKTUM,XK100,XK050,XK030,XSRDK,XKURY,XUSRD,XUSIN,XSINS,XMANA"
ERSU,"XUTUM,XTUMY,XKOBI,XUSIN,XSINS,XGIDA,XSKON"
ESCAR,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XUHIZ,XSIST"
ESCOM,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUTEK,XTKJS,XBLSM,XSIST"
ESEN,"XU500,XUTUM,XTUMY,XYLDZ,XUSRD,XUHIZ,XELKT,XSANK"
ETILR,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XTRZM,XSIST"
ETYAT,XYORT
EUKYO,XYORT
EUPWR,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XK030EA,XYLDZ,XKTUM,XK100,XK050,XK030,XUSIN,XSINS,XMESY,XSANK"
EUREN,"XU500,XUTUM,XTUMY,XYLDZ,XUSIN,XSINS,XKMYA"
EUYO,XYORT
EYGYO,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUMAL,XGMYO,XGYOS"
FADE,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XGIDA,XSIZM"
FENER,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XUHIZ,XSPOR,XSIST"
FLAP,"XUTUM,XTUMY,XUHIZ,XSIST"
FMIZP,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XMESY,XSKOC"
FONET,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XK100,XUTEK,XTKJS,XBLSM,XSANK"
FORMT,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XK100,XUSIN,XSINS,XMESY,XSKAY"
FORTE,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUTEK,XTKJS,XBLSM,XSANK"
FRIGO,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XGIDA,XSBUR"
FROTO,"XU100,XU050,XU030,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XTMTU,XTM25,XKURY,XUSRD,XSD25,XTM25S,XUSIN,XSINS,XMESY,XSKOC"
FZLGY,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XK100,XUMAL,XGMYO,XGYOS"
GARAN,"XU100,XU050,XU030,XLBNK,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XTMTU,XTM25,XKURY,XUSRD,XSD25,XTM25S,XUMAL,XBANK"
GARFA,"XUTUM,XTUMY,XKURY,XUMAL,XFINK"
GEDIK,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XUGRA,XUMAL,XAKUR"
GEDZA,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XKMYA"
GENIL,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XTMTU,XKTUM,XK100,XKTMT,XUGRA,XUHIZ,XTCRT,XSANK"
GENTS,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XKTUM,XKTMT,XUSIN,XSINS,XKAGT"
GEREL,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XK100,XUSIN,XSINS,XMESY"
GESAN,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XK030EA,XYLDZ,XKTUM,XK100,XK050,XK030,XUHIZ,XINSA,XSANK"
GIPTA,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XUSIN,XSINS,XKAGT,XSANK"
GLBMD,"XUTUM,XTUMY,XUMAL,XAKUR"
GLCVY,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XUMAL"
GLRMK,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XK030EA,XYLDZ,XHARZ,XKTUM,XK100,XK050,XK030,XUHIZ,XINSA,XSANK"
GLRYH,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XHOLD,XSIST"
GLYHO,"XU500,XUTUM,XTUMY,XYLDZ,XKURY,XUSRD,XUGRA,XUMAL,XHOLD,XSIST"
GMTAS,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XTCRT"
GOKNR,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XK100,XUSIN,XSINS,XGIDA"
GOLTS,"XU500,XUTUM,XTUMY,XK030EA,XYLDZ,XTMTU,XKTUM,XK100,XK050,XK030,XKTMT,XUSIN,XSINS,XTAST"
GOODY,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XKMYA,XSIST"
GOZDE,"XU500,XUTUM,XTUMY,XYLDZ,XUMAL,XHOLD"
GRNYO,XYORT
GRSEL,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XTMTU,XKTUM,XK100,XK050,XKTMT,XUHIZ,XULAS,XSIST"
GRTHO,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XKTUM,XK100,XK050,XUGRA,XUMAL,XHOLD,XSIST"
GSDDE,"XU500,XUTUM,XTUMY,XBANA,XUGRA,XUHIZ,XULAS,XSIST"
GSDHO,"XU500,XUTUM,XTUMY,XBANA,XUGRA,XUMAL,XHOLD,XSIST"
GSRAY,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XUHIZ,XSPOR,XSIST"
GUBRF,"XU100,XU050,XU030,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XK030EA,XYLDZ,XKTUM,XK100,XK050,XK030,XUGRA,XUSIN,XSINS,XKMYA,XSIST"
GUNDG,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XKTUM,XUSIN,XSINS,XGIDA,XSMNS"
GWIND,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XKTUM,XK100,XSRDK,XKTMT,XKURY,XUSRD,XUHIZ,XELKT,XSBAL"
GZNMI,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XSANT"
HALKB,"XU100,XU050,XLBNK,XU500,XUTUM,XELOT,XELOS,XELOC,XYUZO,X100S,X100C,XYLDZ,XKURY,XUSRD,XUGRA,XUMAL,XBANK"
HATEK,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XTEKS"
HATSN,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XKTUM,XK100,XUSIN,XSINS,XMESY"
HDFGS,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XHOLD"
HEDEF,"XU500,XUTUM,XTUMY,XYLDZ,XUMAL,XHOLD,XSIST"
HEKTS,"XU100,XU050,XU500,XUTUM,XELOT,XELOS,XELOC,XYUZO,X100S,X100C,XYLDZ,XUSIN,XSINS,XKMYA,XSKOC"
HKTM,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XMESY,XSKOC"
HLGYO,"XU500,XUTUM,XTUMY,XYLDZ,XKURY,XUGRA,XUMAL,XGMYO,XGYOS"
HOROZ,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XKTUM,XUHIZ,XULAS,XSIST"
HRKET,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XKTUM,XK100,XUGRA,XUHIZ,XULAS,XSIST"
HTTBT,"XU500,XUTUM,XTUMY,XYLDZ,XKURY,XUSRD,XUTEK,XTKJS,XBLSM,XSIST"
HUBVC,"XUTUM,XTUMY,XUMAL,XHOLD"
HUNER,"XU500,XUTUM,XTUMY,XBANA,XUGRA,XUHIZ,XELKT,XSIST"
HURGZ,"XU500,XUTUM,XTUMY,XBANA,XKURY,XUHIZ,XSIST"
ICBCT,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XBANK"
ICUGS,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XK100,XUMAL,XHOLD"
IDGYO,"XUTUM,XTUMY,XUMAL,XGMYO,XGYOS"
IEYHO,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XUMAL,XHOLD,XSIST"
IHAAS,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XSIST"
IHEVA,"XUTUM,XTUMY,XKTUM,XKURY,XUSIN,XSINS,XMESY,XSIST"
IHGZT,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUHIZ,XSIST"
IHLAS,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XK100,XK050,XKURY,XUMAL,XHOLD,XSIST"
IHLGM,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XSIZM"
IHYAY,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUMAL,XHOLD,XSIST"
IMASM,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XK100,XUSIN,XSINS,XMESY,XSKON"
INDES,"XU500,XUTUM,XTUMY,XYLDZ,XUTEK,XTKJS,XBLSM,XSIST"
INFO,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XAKUR"
INGRM,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUTEK,XTKJS,XBLSM,XSIST"
INTEM,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUHIZ,XTCRT,XSIST"
INVEO,"XU500,XUTUM,XTUMY,XYLDZ,XUMAL,XHOLD,XSIST"
INVES,"XU500,XUTUM,XTUMY,XBANA,XUGRA,XUMAL,XHOLD,XSIST"
IPEKE,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XUSIN,XSINS,XMADN,XSANK"
ISATR,"XUTUM,XTUMY,XTMTU,XUSRD,XUMAL,XBANK"
ISBTR,"XUTUM,XTUMY,XTMTU,XUSRD,XUMAL,XBANK"
ISCTR,"XU100,XU050,XU030,XLBNK,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XTMTU,XTM25,XUSRD,XSD25,XTM25S,XUMAL,XBANK"
ISDMR,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XK100,XSRDK,XKURY,XUSRD,XUSIN,XSINS,XMANA"
ISFIN,"XU500,XUTUM,XTUMY,XYLDZ,XKURY,XUSRD,XUMAL,XFINK"
ISGSY,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XHOLD"
ISGYO,"XU500,XUTUM,XTUMY,XYLDZ,XUSRD,XUMAL,XGMYO,XGYOS"
ISKPL,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XKMYA,XSKOC"
ISMEN,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XTMTU,XTM25,XUSRD,XTM25S,XUMAL,XAKUR"
ISSEN,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XTEKS,XSBAL"
ISYAT,XYORT
IZENR,"XU500,XUTUM,XTUMY,XYLDZ,XUHIZ,XELKT,XSIZM"
IZFAS,"XU500,XUTUM,XTUMY,XBANA,XKOBI,XKTUM,XK100,XUSIN,XSINS,XKMYA,XSIZM"
IZINV,"XUTUM,XTUMY,XKOBI,XKTUM,XUSIN,XSINS,XSIST"
IZMDC,"XU500,XUTUM,XTUMY,XBANA,XUGRA,XUSIN,XSINS,XMANA,XSIZM"
JANTS,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XKTUM,XK100,XK050,XKTMT,XUSIN,XSINS,XMESY,XSAYD"
KAPLM,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XKAGT,XSIZM"
KAREL,"XU500,XUTUM,XTUMY,XYLDZ,XUTEK,XTKJS,XBLSM,XSANK"
KARSN,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XK100,XK050,XUSIN,XSINS,XMESY,XSBUR"
KARTN,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XKAGT,XSKOC"
KATMR,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XK100,XUSIN,XSINS,XMESY,XSIZM"
KAYSE,"XU500,XUTUM,XTUMY,XYLDZ,XUGRA,XUSIN,XSINS,XGIDA,XSKAY"
KBORU,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XUSIN,XSINS,XKMYA"
KCAER,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XTMTU,XKTUM,XK100,XK050,XKTMT,XUSIN,XSINS,XMANA,XSIZM"
KCHOL,"XU100,XU050,XU030,X10XB,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XTMTU,XTM25,XUSRD,XSD25,XTM25S,XUMAL,XHOLD,XSIST"
KFEIN,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XKURY,XUTEK,XTKJS,XBLSM,XSIST"
KGYO,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XGMYO,XGYOS"
KIMMR,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUHIZ,XTCRT"
KLGYO,"XU500,XUTUM,XTUMY,XYLDZ,XUMAL,XGMYO,XGYOS"
KLKIM,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XKURY,XUSRD,XUSIN,XSINS,XTAST,XSIST"
KLMSN,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XMESY,XSMNS"
KLRHO,"XU500,XUTUM,XTUMY,XYLDZ,XUMAL,XHOLD,XSIST"
KLSER,"XU500,XUTUM,XTUMY,XYLDZ,XKURY,XUSIN,XSINS,XTAST"
KLSYN,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XKAGT,XSTKR"
KLYPV,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XUHIZ,XELKT,XSANK"
KMPUR,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XSRDK,XKURY,XUSRD,XUSIN,XSINS,XKMYA,XSKOC"
KNFRT,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XSIST"
KOCMT,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XKTUM,XK100,XUGRA,XUSIN,XSINS,XMANA"
KONKA,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XKAGT,XSKON"
KONTR,"XU100,XU050,XU500,XUTUM,XELOT,XELOS,XELOC,XYUZO,X100S,X100C,XK030EA,XYLDZ,XKTUM,XK100,XK050,XK030,XSRDK,XKURY,XUSRD,XUHIZ,XSIST"
KONYA,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XK100,XK050,XUSIN,XSINS,XTAST,XSKON"
KOPOL,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XK100,XUSIN,XSINS,XKMYA"
KORDS,"XU500,XUTUM,XTUMY,XYLDZ,XUSRD,XUSIN,XSINS,XTEKS,XSKOC"
KOTON,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XKTUM,XK100,XUHIZ,XTCRT"
KOZAA,"XU100,XU050,XU500,XUTUM,XELOT,XELOS,XELOC,XYUZO,X100S,X100C,XYLDZ,XUSIN,XSINS,XMADN,XSANK"
KOZAL,"XU100,XU050,XU030,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XUSIN,XSINS,XMADN,XSIZM"
KRDMA,"XUTUM,XTUMY,XYLDZ,XKTUM,XUSIN,XSINS,XMANA"
KRDMB,"XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XMANA"
KRDMD,"XU100,XU050,XU030,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XK030EA,XYLDZ,XKTUM,XK100,XK050,XK030,XUSIN,XSINS,XMANA"
KRGYO,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUMAL,XGMYO,XGYOS"
KRONT,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUTEK,XTKJS,XBLSM,XSIST"
KRPLS,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XKMYA,XSIST"
KRSTL,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XGIDA,XSBAL"
KRTEK,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XTEKS,XSKAY"
KRVGD,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUGRA,XUSIN,XSINS,XGIDA,XSIST"
KTLEV,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XK030EA,XYLDZ,XKTUM,XK100,XK050,XK030,XUMAL"
KTSKR,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XGIDA"
KUTPO,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XTAST"
KUYAS,"XU100,XU050,XU500,XUTUM,XELOT,XELOS,XELOC,XYUZO,X100S,X100C,XK030EA,XYLDZ,XKTUM,XK100,XK050,XK030,XUGRA,XUHIZ,XINSA,XSIST"
KZBGY,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XK100,XK050,XUMAL,XGMYO,XGYOS"
KZGYO,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XGMYO,XGYOS"
LIDER,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XUHIZ,XSIST"
LIDFA,"XU500,XUTUM,XTUMY,XBANA,XKURY,XUMAL,XFINK"
LILAK,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XTMTU,XUSIN,XSINS,XKAGT,XSTKR"
LINK,"XU500,XUTUM,XTUMY,XYLDZ,XUTEK,XTKJS,XBLSM,XSIST"
LKMNH,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XKTUM,XKTMT,XUGRA,XUHIZ,XSANK"
LMKDC,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XHARZ,XKTUM,XK100,XK050,XUSIN,XSINS,XTAST"
LOGO,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XKTUM,XK100,XSRDK,XKTMT,XKURY,XUSRD,XUTEK,XTKJS,XBLSM,XSKOC"
LRSHO,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUMAL,XHOLD,XSKON"
LUKSK,"XU500,XUTUM,XTUMY,XBANA,XKOBI,XKTUM,XUSIN,XSINS,XTEKS,XSKAY"
LYDHO,"XU500,XUTUM,XTUMY,XYLDZ,XUMAL,XHOLD,XSIST"
LYDYE,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XELKT"
MAALT,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XTRZM,XSANT"
MACKO,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XUHIZ,XSIST"
MAGEN,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XUSRD,XUGRA,XUHIZ,XELKT,XSANK"
MAKIM,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XMESY,XSANK"
MAKTK,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XMESY,XSKOC"
MANAS,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUTEK,XTKJS,XBLSM,XSANK"
MARBL,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XKTUM,XUSIN,XSINS,XTAST"
MARKA,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUMAL,XHOLD,XSIST"
MARMR,"XUTUM,XTUMY,XBANA,XUSIN,XSINS,XKMYA,XSKOC"
MARTI,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XTRZM,XSANT"
MAVI,"XU100,XU050,XU500,XUTUM,XELOT,XELOS,XELOC,XYUZO,X100S,X100C,XK030EA,XYLDZ,XTMTU,XTM25,XKTUM,XK100,XK050,XK030,XSRDK,XKTMT,XUSRD,XSD25,XTM25S,XUGRA,XUHIZ,XTCRT"
MEDTR,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XKTUM,XKTMT,XUSIN,XSINS,XKMYA,XSIZM"
MEGMT,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XUSIN,XSINS,XMANA,XSKAY"
MEKAG,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XKTUM,XUSIN,XSINS,XMESY,XSANK"
MEPET,"XUTUM,XTUMY,XUHIZ,XTCRT"
MERCN,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUGRA,XUSIN,XSINS,XKMYA,XSDNZ"
MERIT,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XUHIZ,XTRZM,XSIST"
MERKO,"XU500,XUTUM,XTUMY,XBANA,XUGRA,XUSIN,XSINS,XGIDA,XSBUR"
METRO,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XHOLD,XSIST"
METUR,"XU500,XUTUM,XTUMY,XBANA,XUGRA,XUSIN,XSINS,XMANA"
MGROS,"XU100,XU050,XU030,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XTMTU,XTM25,XKURY,XUSRD,XSD25,XTM25S,XUHIZ,XTCRT"
MHRGY,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XKURY,XUMAL,XGMYO,XGYOS"
MIATK,"XU100,XU050,XU500,XUTUM,XELOT,XELOS,XELOC,XYUZO,X100S,X100C,XYLDZ,XUTEK,XTKJS,XBLSM,XSANK"
MNDRS,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XTEKS,XSDNZ"
MNDTR,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XKAGT,XSIZM"
MOBTL,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUTEK,XTKJS,XBLSM,XSIST"
MOGAN,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XUHIZ,XELKT,XSANK"
MOPAS,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XUHIZ,XTCRT"
MPARK,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XK030EA,XYLDZ,XKTUM,XK100,XK050,XK030,XSRDK,XUSRD,XUHIZ,XSIST"
MRGYO,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XGMYO,XGYOS"
MRSHL,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XKMYA,XSKOC"
MSGYO,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XUGRA,XUMAL,XGMYO,XGYOS"
MTRKS,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XUTEK,XTKJS,XBLSM,XSIST"
MTRYO,XYORT
MZHLD,"XUTUM,XTUMY,XUMAL,XHOLD,XSIZM"
NATEN,"XU500,XUTUM,XTUMY,XYLDZ,XUSRD,XUGRA,XUHIZ,XELKT,XSANK"
NETAS,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XK100,XKURY,XUTEK,XTKJS,XBLSM,XSIST"
NIBAS,"XU500,XUTUM,XTUMY,XKOBI,XUSIN,XSINS,XTAST"
NTGAZ,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XKTUM,XKTMT,XUHIZ,XELKT,XSIST"
NTHOL,"XU500,XUTUM,XTUMY,XYLDZ,XUGRA,XUMAL,XHOLD,XSIST"
NUGYO,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XGMYO,XGYOS"
NUHCM,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XUSRD,XUSIN,XSINS,XTAST,XSKOC"
OBAMS,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XHARZ,XKTUM,XK100,XK050,XUGRA,XUSIN,XSINS,XGIDA"
OBASE,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUTEK,XTKJS,XBLSM,XSIST"
ODAS,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XKURY,XUHIZ,XELKT"
ODINE,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XUTEK,XTKJS,XBLSM,XSIST"
OFSYM,"XU500,XUTUM,XTUMY,XBANA,XUGRA,XUSIN,XSINS,XGIDA,XSANK"
ONCSM,"XU500,XUTUM,XTUMY,XBANA,XKOBI,XKTUM,XUSIN,XSINS,XKMYA,XSANK"
ONRYT,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XKURY,XUTEK,XTKJS,XSANK"
ORCAY,"XUTUM,XTUMY,XKOBI,XUSIN,XSINS,XGIDA"
ORGE,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XK100,XUGRA,XUHIZ,XINSA,XSIST"
OSMEN,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XUMAL,XAKUR"
OSTIM,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUMAL,XHOLD,XSANK"
OTKAR,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XKURY,XUSRD,XUSIN,XSINS,XMESY"
OTTO,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XHOLD,XSIST"
OYAKC,"XU100,XU050,XU500,XUTUM,XELOT,XELOS,XELOC,XYUZO,X100S,X100C,XYLDZ,XUSIN,XSINS,XTAST,XSANK"
OYAYO,XYORT
OYLUM,"XUTUM,XTUMY,XUGRA,XUSIN,XSINS,XGIDA,XSKAY"
OYYAT,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XAKUR"
