# Endeks Bileşenleri (Hisse Senedi - Endeks İlişkisi):
# 
# Bu dosya her hisse senedinin hangi endekslerde yer aldığını gösterir.
# 
# === TEMEL ENDEKSLER ===
# XU030: BIST 30 - En likit 30 hisse
# XU050: BIST 50 - En likit 50 hisse
# XU100: BIST 100 - En likit 100 hisse
# XU500: BIST 500 - Geniş pazar endeksi
# XUTUM: BIST TÜM - Tüm hisseler
# 
# === ÖZEL ENDEKSLER ===
# XYLDZ: BIST YILDIZ - Yıldız şirketler
# XHARZ: BIST HALKA ARZ - Halka arz edilen şirketler
# XSD25: BIST SÜRDÜRÜLEBİLİRLİK 25
# XSRDK: BIST KATILIM SÜRDÜRÜLEBİLİRLİK
# 
# === SEKTÖREL ENDEKSLER ===
# XBANK: BIST BANKA
# XBLSM: BIST BİLİŞİM
# XELKT: BIST ELEKTRİK
# XGIDA: BIST GIDA İÇECEK
# XGMYO: BIST GAYRİMENKUL Y.O.
# XHOLD: BIST HOLDİNG VE YATIRIM
# XTEKS: BIST TEKSTİL DERİ
# XTAST: BIST TAŞ TOPRAK
#
stock_symbol,indices
ANSGR,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XKURY,XUSRD,XUMAL,XSGRT"
ARASE,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XKTUM,XKTMT,XUHIZ,XELKT"
ARCLK,"XU100,XU050,XU500,XUTUM,XELOT,XELOS,XELOC,XYUZO,X100S,X100C,XYLDZ,XKURY,XUSRD,XSD25,XUSIN,XSINS,XMESY,XSIST"
ARDYZ,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XKTUM,XK100,XKTMT,XUTEK,XTKJS,XBLSM,XSIST"
ARENA,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XK100,XUTEK,XTKJS,XBLSM,XSIST"
ARMGD,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XUSIN,XSINS,XGIDA"
ARSAN,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XTEKS"
ARTMS,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XUSIN,XSINS,XTEKS"
ARZUM,"XU500,XUTUM,XTUMY,XBANA,XKURY,XUHIZ,XTCRT,XSIST"
ASELS,"XU100,XU050,XU030,X10XB,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XK030EA,XYLDZ,XTMTU,XKTUM,XK100,XK050,XK030,XSRDK,XKTMT,XKURY,XUSRD,XSD25,XUTEK,XTKJS,XSANK"
ASGYO,"XU500,XUTUM,XTUMY,XYLDZ,XUGRA,XUMAL,XGMYO,XGYOS"
ASTOR,"XU100,XU050,XU030,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XTMTU,XTM25,XKURY,XTM25S,XUSIN,XSINS,XMESY,XSANK"
ASUZU,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XKTUM,XSRDK,XKTMT,XKURY,XUSRD,XUSIN,XSINS,XMESY,XSKOC"
ATAGY,"XUTUM,XTUMY,XUMAL,XGMYO,XGYOS"
ATAKP,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XKURY,XUGRA,XUSIN,XSINS,XGIDA"
ATATP,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XUGRA,XUTEK,XTKJS,XBLSM,XSIST"
ATLAS,XYORT
AVGYO,"XUTUM,XTUMY,XUGRA,XUMAL,XGMYO,XGYOS"
AVHOL,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XHOLD,XSIST"
AVOD,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XGIDA,XSIZM"
AVPGY,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XK030EA,XYLDZ,XHARZ,XTMTU,XKTUM,XK100,XK050,XK030,XKTMT,XUMAL,XGMYO,XGYOS"
AVTUR,"XUTUM,XTUMY,XUHIZ,XTRZM,XSIST"
